epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.129,1.54916,1.15037,1.02479,0.5437,0.31475,0.30517,0.16687,1.45155,1.06202,0.97773,0.000333027,0.000333027,0.0670303
2,621.046,1.52677,1.03052,1.00902,0.42044,0.35046,0.34392,0.19086,1.42713,0.89945,0.97424,0.000666129,0.000666129,0.0340301
3,929.413,1.51466,1.00053,1.00277,0.46029,0.35365,0.35384,0.19503,1.41412,0.90142,0.96891,0.000998307,0.000998307,0.00102892
4,1236.67,1.49135,0.96977,0.9944,0.50244,0.36778,0.3804,0.21135,1.38293,0.85879,0.96212,0.000996881,0.000996881,0.000996881
5,1543.89,1.46437,0.93794,0.98536,0.54002,0.36972,0.38805,0.21513,1.37056,0.83904,0.95535,0.00099446,0.00099446,0.00099446
6,1850.55,1.44622,0.91153,0.97981,0.50256,0.38175,0.39538,0.21912,1.35977,0.83032,0.95214,0.000991353,0.000991353,0.000991353
7,2157.57,1.43761,0.89926,0.97548,0.50848,0.39777,0.404,0.22592,1.3541,0.80597,0.94914,0.000987566,0.000987566,0.000987566
8,2465.01,1.42683,0.88883,0.97061,0.52064,0.39072,0.40136,0.22571,1.34488,0.80332,0.94617,0.000983105,0.000983105,0.000983105
9,2772.14,1.4178,0.87394,0.96748,0.55776,0.38591,0.41483,0.23373,1.33866,0.79895,0.94354,0.000977975,0.000977975,0.000977975
10,3079.63,1.40727,0.86503,0.9659,0.53734,0.40601,0.42856,0.24257,1.32988,0.78477,0.94532,0.000972186,0.000972186,0.000972186
11,3386.75,1.40252,0.85866,0.96245,0.55738,0.41948,0.43094,0.24276,1.32083,0.77312,0.9419,0.000965746,0.000965746,0.000965746
12,3693.66,1.39782,0.85113,0.96188,0.56978,0.40339,0.44454,0.25388,1.31722,0.76194,0.93914,0.000958664,0.000958664,0.000958664
13,4000.04,1.3913,0.84354,0.95766,0.68556,0.40452,0.44326,0.25117,1.31221,0.76045,0.93715,0.000950953,0.000950953,0.000950953
14,4306.6,1.38395,0.83401,0.95677,0.60254,0.43133,0.46279,0.26445,1.31434,0.75112,0.93779,0.000942623,0.000942623,0.000942623
15,4613.7,1.38607,0.82865,0.95504,0.53514,0.44408,0.45633,0.25884,1.30216,0.74351,0.93298,0.000933688,0.000933688,0.000933688
16,4920.67,1.37469,0.82004,0.95224,0.55825,0.43098,0.46489,0.26614,1.30065,0.73863,0.93264,0.000924161,0.000924161,0.000924161
17,5227.32,1.37046,0.8158,0.95142,0.61616,0.43555,0.46946,0.26764,1.29501,0.73594,0.9315,0.000914058,0.000914058,0.000914058
18,5534.17,1.36025,0.8101,0.94854,0.60296,0.43564,0.47114,0.27118,1.29316,0.72736,0.93013,0.000903393,0.000903393,0.000903393
19,5841.28,1.36294,0.80799,0.94928,0.64172,0.44039,0.48183,0.27406,1.29462,0.72761,0.93174,0.000892183,0.000892183,0.000892183
20,6148.42,1.3599,0.80282,0.94653,0.60205,0.43758,0.47768,0.27478,1.28768,0.72341,0.93018,0.000880445,0.000880445,0.000880445
21,6455.52,1.35681,0.79794,0.94409,0.60245,0.43264,0.47939,0.27626,1.28371,0.7176,0.92735,0.000868198,0.000868198,0.000868198
22,6762.43,1.35252,0.79319,0.94453,0.63577,0.43838,0.49129,0.28133,1.28253,0.71407,0.92844,0.00085546,0.00085546,0.00085546
23,7069.6,1.34718,0.78668,0.94259,0.59445,0.44489,0.48583,0.28014,1.28035,0.71252,0.92624,0.000842252,0.000842252,0.000842252
24,7376.67,1.34345,0.78575,0.94092,0.61223,0.43795,0.48748,0.28244,1.28228,0.71157,0.92706,0.000828592,0.000828592,0.000828592
25,7682.83,1.33479,0.77779,0.93859,0.58746,0.4606,0.49322,0.28501,1.27654,0.70418,0.9243,0.000814503,0.000814503,0.000814503
26,7990.22,1.33565,0.77379,0.93806,0.59671,0.45144,0.49421,0.2846,1.27554,0.70562,0.92438,0.000800007,0.000800007,0.000800007
27,8297.51,1.33221,0.7697,0.93778,0.64101,0.44681,0.49597,0.28356,1.27633,0.70188,0.92605,0.000785124,0.000785124,0.000785124
28,8604.74,1.3332,0.76547,0.9359,0.63775,0.45069,0.49961,0.28761,1.27675,0.70024,0.92563,0.00076988,0.00076988,0.00076988
29,8912.54,1.32525,0.75982,0.93432,0.57088,0.47863,0.50218,0.29011,1.27269,0.6969,0.92269,0.000754296,0.000754296,0.000754296
30,9221.35,1.32491,0.76,0.93549,0.5859,0.46403,0.50194,0.29034,1.27266,0.69537,0.92419,0.000738397,0.000738397,0.000738397
31,9530.09,1.32596,0.75587,0.93399,0.6354,0.46557,0.50751,0.29159,1.27037,0.69458,0.9233,0.000722208,0.000722208,0.000722208
32,9839.76,1.32162,0.75226,0.93243,0.59859,0.48082,0.50243,0.29031,1.26977,0.69142,0.92239,0.000705753,0.000705753,0.000705753
33,10150,1.31876,0.74992,0.93156,0.61313,0.46584,0.50843,0.2937,1.26944,0.69084,0.92114,0.000689058,0.000689058,0.000689058
34,10459,1.31654,0.74491,0.93015,0.62684,0.47428,0.51354,0.29568,1.26791,0.68936,0.92139,0.000672148,0.000672148,0.000672148
35,10769.5,1.31472,0.74395,0.9311,0.61104,0.47143,0.51371,0.29743,1.26584,0.68729,0.9196,0.00065505,0.00065505,0.00065505
36,11079.9,1.3096,0.73783,0.92801,0.60748,0.47006,0.5127,0.29428,1.26722,0.6851,0.92036,0.000637791,0.000637791,0.000637791
37,11388.7,1.30631,0.73443,0.92665,0.58723,0.49315,0.51472,0.29773,1.26701,0.6842,0.92101,0.000620396,0.000620396,0.000620396
38,11699.5,1.30275,0.73192,0.92649,0.61409,0.47638,0.51357,0.29752,1.26473,0.68347,0.92015,0.000602892,0.000602892,0.000602892
39,12008.6,1.30113,0.72907,0.92521,0.60245,0.47518,0.51337,0.29894,1.26262,0.68298,0.91909,0.000585307,0.000585307,0.000585307
