epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.933,1.47577,1.25429,1.10101,0.46545,0.39686,0.40815,0.22624,1.46447,1.04754,1.10014,0.000302861,0.000302861,0.000302861
2,1029.49,1.46044,1.03123,1.0976,0.49313,0.40256,0.43077,0.24184,1.44216,0.97764,1.08349,0.000585867,0.000585867,0.000585867
3,1329.15,1.45133,1.00405,1.08708,0.60011,0.42185,0.45631,0.25795,1.42411,0.94055,1.07462,0.000848876,0.000848876,0.000848876
4,1682.49,1.4382,0.98138,1.08201,0.54625,0.44681,0.4671,0.2662,1.41548,0.90698,1.06878,0.000819009,0.000819009,0.000819009
5,2002.73,1.42081,0.94594,1.07047,0.58557,0.44336,0.48706,0.28172,1.40676,0.88801,1.06021,0.000789012,0.000789012,0.000789012
6,2302.27,1.40704,0.928,1.06498,0.57474,0.46399,0.5052,0.29338,1.38933,0.87863,1.05623,0.000759015,0.000759015,0.000759015
7,2601.24,1.39747,0.91074,1.05814,0.57606,0.45713,0.50586,0.29354,1.38718,0.86047,1.04987,0.000729018,0.000729018,0.000729018
8,2900.19,1.39187,0.89865,1.05591,0.62409,0.47657,0.51735,0.30187,1.37155,0.854,1.04874,0.000699021,0.000699021,0.000699021
9,3199.31,1.3855,0.88598,1.05279,0.6093,0.49339,0.53576,0.31121,1.37889,0.84157,1.0445,0.000669024,0.000669024,0.000669024
10,3498.12,1.38037,0.87512,1.04784,0.60505,0.5084,0.53755,0.31561,1.37437,0.83049,1.04347,0.000639027,0.000639027,0.000639027
11,3798.14,1.37111,0.86353,1.0428,0.63382,0.48229,0.53092,0.31445,1.36435,0.82689,1.04009,0.00060903,0.00060903,0.00060903
12,4098.75,1.36269,0.85178,1.03902,0.62009,0.4901,0.54162,0.32139,1.36571,0.81985,1.041,0.000579033,0.000579033,0.000579033
13,4396.7,1.36427,0.84677,1.03708,0.67951,0.49977,0.54943,0.32586,1.35856,0.81268,1.03378,0.000549036,0.000549036,0.000549036
14,4725.04,1.35653,0.83766,1.03481,0.60795,0.50842,0.55008,0.32664,1.36252,0.80816,1.03359,0.000519039,0.000519039,0.000519039
15,5051.83,1.35426,0.83135,1.0316,0.63563,0.52259,0.55943,0.33095,1.358,0.80107,1.03178,0.000489042,0.000489042,0.000489042
16,5350.2,1.34791,0.82222,1.03028,0.61708,0.51029,0.55782,0.33312,1.35643,0.7965,1.03094,0.000459045,0.000459045,0.000459045
17,5648.64,1.34538,0.81474,1.02748,0.58094,0.5374,0.56174,0.33674,1.3539,0.79199,1.03116,0.000429048,0.000429048,0.000429048
18,5947.7,1.33633,0.80486,1.02341,0.61969,0.5411,0.56724,0.34062,1.35053,0.79039,1.02698,0.000399051,0.000399051,0.000399051
19,6247.5,1.33609,0.80038,1.02343,0.61697,0.52789,0.57308,0.34227,1.35238,0.78276,1.02963,0.000369054,0.000369054,0.000369054
20,6546.88,1.3325,0.78977,1.02188,0.58728,0.54421,0.5745,0.34266,1.34763,0.78022,1.02745,0.000339057,0.000339057,0.000339057
21,6841.17,1.36392,0.7944,1.03591,0.62883,0.51232,0.56963,0.34081,1.35171,0.78281,1.02848,0.00030906,0.00030906,0.00030906
22,7134.25,1.35963,0.78836,1.03432,0.63447,0.52797,0.57945,0.34631,1.35055,0.78183,1.03025,0.000279063,0.000279063,0.000279063
23,7426.65,1.35347,0.77982,1.02995,0.62246,0.53499,0.57601,0.34519,1.35077,0.78231,1.02621,0.000249066,0.000249066,0.000249066
24,7783.61,1.35211,0.77399,1.02994,0.64422,0.51891,0.57465,0.34488,1.34909,0.77801,1.02712,0.000219069,0.000219069,0.000219069
25,8102.73,1.34612,0.76522,1.02984,0.65666,0.5254,0.57965,0.34871,1.35048,0.77658,1.0296,0.000189072,0.000189072,0.000189072
26,8395.43,1.34183,0.75879,1.02606,0.65521,0.53875,0.58456,0.35189,1.35006,0.77494,1.02688,0.000159075,0.000159075,0.000159075
27,8688.18,1.33719,0.75045,1.02377,0.63861,0.54576,0.58139,0.35014,1.34924,0.77314,1.02689,0.000129078,0.000129078,0.000129078
28,8980.83,1.33042,0.74103,1.02168,0.66835,0.53728,0.58465,0.35192,1.34933,0.77136,1.02673,9.9081e-05,9.9081e-05,9.9081e-05
29,9273.47,1.32466,0.73334,1.01702,0.67197,0.53574,0.58289,0.35154,1.34974,0.77058,1.02681,6.9084e-05,6.9084e-05,6.9084e-05
30,9566.15,1.32347,0.72829,1.01692,0.67144,0.53411,0.58352,0.35165,1.35059,0.76957,1.02688,3.9087e-05,3.9087e-05,3.9087e-05
